iter	Passed	Remaining
0	1	166
1	2	134
2	4	133
3	5	124
4	6	119
5	7	117
6	8	117
7	10	117
8	11	116
9	12	112
10	13	111
11	14	109
12	16	107
13	17	104
14	18	106
15	20	106
16	21	104
17	22	102
18	23	101
19	24	99
20	26	99
21	27	97
22	28	96
23	29	94
24	30	92
25	32	91
26	33	90
27	35	91
28	37	90
29	38	89
30	39	88
31	41	87
32	42	85
33	43	83
34	44	82
35	45	80
36	46	78
37	47	77
38	48	75
39	49	73
40	50	72
41	50	70
42	51	68
43	52	67
44	53	65
45	54	64
46	55	62
47	56	61
48	57	60
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
