iter	Passed	Remaining
0	148	148630
1	149	74797
2	150	50177
3	151	37800
4	152	30388
5	153	25443
6	154	21911
7	155	19252
8	156	17184
9	157	15569
10	158	14247
11	159	13121
12	160	12171
13	161	11365
14	162	10655
15	163	10031
16	163	9482
17	164	8992
18	165	8549
19	166	8156
20	167	7804
21	168	7479
22	169	7186
23	169	6913
24	170	6664
25	172	6451
26	173	6240
27	174	6042
28	175	5866
29	176	5691
30	176	5529
31	177	5374
32	178	5234
33	179	5100
34	180	4972
35	181	4852
36	182	4739
37	182	4632
38	183	4530
39	184	4432
40	185	4340
41	187	4268
42	188	4185
43	189	4113
44	190	4036
45	191	3962
46	191	3891
47	192	3824
48	193	3761
49	194	3699
50	195	3639
51	196	3582
52	197	3527
53	198	3474
54	199	3424
55	200	3374
56	201	3332
57	202	3290
58	203	3247
59	204	3203
60	205	3161
61	206	3120
62	207	3081
63	208	3044
64	209	3008
65	210	2971
66	210	2936
67	211	2901
68	212	2867
69	213	2834
70	214	2802
71	215	2772
72	216	2753
73	217	2726
74	218	2698
75	219	2671
76	220	2644
77	221	2619
78	222	2594
79	223	2570
80	224	2545
81	225	2521
82	225	2493
83	226	2470
84	227	2448
85	228	2426
86	229	2404
87	230	2388
88	231	2371
89	232	2351
90	233	2331
91	234	2313
92	235	2295
93	236	2276
94	237	2258
95	237	2240
96	238	2222
97	239	2204
98	240	2187
99	241	2171
100	242	2154
101	242	2138
102	243	2124
103	245	2111
104	246	2097
105	247	2083
106	247	2069
107	248	2055
108	249	2040
109	250	2027
110	251	2013
111	252	1999
112	253	1986
113	254	1974
114	254	1961
115	255	1948
116	256	1935
117	257	1924
118	258	1913
119	259	1902
120	260	1891
121	261	1878
122	262	1868
123	262	1857
124	263	1846
125	264	1836
126	265	1824
127	266	1813
128	267	1803
129	267	1792
130	268	1782
131	269	1772
132	270	1763
133	271	1754
134	272	1744
135	273	1736
136	274	1727
137	275	1719
138	276	1710
139	277	1701
140	277	1693
141	278	1682
142	279	1674
143	280	1666
144	281	1657
145	281	1649
146	282	1640
147	283	1632
148	284	1624
149	285	1618
150	286	1610
151	287	1603
152	288	1595
153	289	1589
154	290	1582
155	291	1575
156	292	1567
157	292	1560
158	293	1554
159	294	1547
160	295	1538
161	296	1532
162	297	1525
163	297	1518
164	298	1511
165	299	1505
166	300	1498
167	301	1492
168	302	1486
169	303	1481
170	304	1474
171	305	1468
172	305	1462
173	306	1456
174	307	1450
175	308	1444
176	309	1438
177	310	1432
178	311	1426
179	311	1421
180	312	1415
181	313	1410
182	314	1404
183	315	1399
184	316	1394
185	317	1390
186	318	1386
187	319	1381
188	320	1377
189	321	1372
190	322	1367
191	323	1362
192	324	1357
193	325	1352
194	326	1348
195	327	1343
196	328	1338
197	329	1334
198	330	1329
199	331	1325
200	332	1321
201	333	1316
202	334	1312
203	335	1308
204	336	1303
205	337	1299
206	337	1294
207	338	1290
